课程代码,课程名称,课程英文名称,学分,周学时,总学时,课程类别,课程类型,开课部门,课程归属,课程标识,认定类别,是否允许申请免听,是否允许补考,建议修读年级,是否荣誉课程,是否竺可桢学院课程,是否体育分项,对应课程代码,课程简介
BIO2035FZ,人工智能与生命科学,AI and Life Sciences,3.0,3.0-0.0,48,专业基础课程,理论课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Z0020,"本课程面向非计算机专业的本科生，讲授人工智能技术的基本概念、发展历史、经典算法与最新进展。课程重点介绍当前人工智能领域取得重大突破的深度神经网络、强化学习、监督学习、非监督学习等算法的基础理论，并结合算法实例了解人工智能的数学建模思想和算法实现。在此基础上介绍人工智能在医学图像、生物信息学、药物研发、肿瘤诊疗等生命科学领域的应用，并探讨人工智能的发展对人类社会的深远影响，为本科生提供一个理解人工智及其在生命科学中的广泛应用的入门基础。"
BIO2042MZ,生物化学实验,Biochemistry Experiment,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0020,"本课程是生命科学大类相关专业的专业基础课程，实行线上线下混合式教学。 线上MOOC课程包括35个视频，总时长396分钟，通过知识解读和实验操作相结合、实验设计与实验项目相结合、系统性分析与拓展设计应用相结合，系统性讲解实验思路、技术理论和实验操作技巧和技术要点，学习完每个阶段视频学后需要完成阶段性测验。 线下内容根据时代对专业技术人才生物化学实验技术的基本需求，选取酒酵母蔗糖酶为目标蛋白质，筛选整合国内外蔗糖酶研究的一系列科学文献，科学搭建蛋白质（酶）综合研究大实验，包含九个单元模块，环环相扣，循序渐进，多线展开，侵入式学习掌握活性蛋白质（酶）的粗提取、分离纯化、浓度检测、活性测定、分子鉴定、特征理化性质分析、酶动力学性质探究、正交试验设计和过程效能评价等实验原理、方法和技术操作流程。"
BIO2043MZ,生命科学概论Ⅱ,Overview of Life Science Ⅱ,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0002,"本课程针对具有特殊才能的本、硕、博连读新生，深入浅出地介绍当代生命科学的基本概念、理论、原理和当代生物学各重要分支学科的发展前沿。着重引导和培养学生进行科学研究的思考和分析能力。训练学生进行科学问题、研究设计、数据结果分析和判断的必要素质和能力。为学生理解和掌握生命科学各基础学科, 并为培养世界一流生物科学家打下扎实的基础。"
BIO2048M,生物信息与数据处理,Biological Information And Data Management,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120120,"生物信息及数据处理是生物技术专业的一门专业基础课程。它以学习生物文献信息、核酸蛋白质序列分析和生物数据处理技术为主要内容，使学生掌握对有关生物信息的查询、分析和数据处理技术。 生物信息及数据处理是一门新学科，它基于计算机技术的发展，特别是数据库以及因特网技术的突飞猛进，使得从浩如烟海的生物信息中获取、加工直至预测成为现实。正因为该技术的发展，加快了人类基因组计划的最终实现。如今依赖生物信息学的相关工业已初露端倪，相信不久它将成为推动整个生物技术产业发展的动力源泉。 本课程为多媒体教学，采用中文教材并配套原版外文教材。1人1机。要求学生在学习完本课程规定内容后，能独立完成对某一科研项目的文献查询、整理；对分子生物学相关工具的熟练使用；对实验所得结果能进行有效分析；能阅读生物信息及分子生物学相关外文资料。 本课程为短学期课程，共96学时，其中讲课56学时，实验40学时。"
BIO2068M,种群生态学,Population Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120840,"种群生态学是生态学、人口学、环境学相关专业的核心专业课程之一。本课程采用与国际一流大学同步的讲义和课件，主要讲授种群结构、过程及其调控的特征和规律、分析和研究方法、前沿进展和应用等。使学生掌握国际先进的种群生态学知识和研究创新技能, 应对和解决人类面临的相关挑战。"
BIO2078M,动物学野外实习,Field Practice For Zoology,1.0,+1,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188010,"本课程是生命科学各专业学生必须参加的野外实践性课程。主要内容是浙江舟山海洋潮间带无脊椎动物和海洋习见鱼类采集、生态习性观察与种类鉴定。通过实习，要求学生初步掌握海洋无脊椎动物和海洋鱼类的分类方法和常见种类的识别。同时，加深对动物形态结构与功能相统一、与生活环境相适应的认识。"
BIO2079M,植物学野外实习,Field Practice For Botany,1.0,+1,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188100,"本课程是生命科学学院学生必修的野外实践性课程。主要内容是浙江西天目山/千岛湖/朱家尖（或其他实习地）的植物标本采集、形态特征观察与种类鉴定。通过实习，要求学生初步掌握约50个科150-200植物，掌握30个左右重点科的主要特征和学名。学会运用植物志、植物图鉴等工具书鉴定野生植物，进一步了解植物与环境的相互关系、植物和植被的分布规律，加深对植物形态结构与功能相统一、与生活环境相适应的认识。"
BIO2080M,发酵工程技能训练,Technology Training Of Fermentation Engineering,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188111,"发酵工程是利用微生物的特定性状和功能，通过现代化工程技术来生产有用物质或将微生物直接用于工业化体系的一门技术。本课程是一门以实验操作为主、理论讲解为辅的CURE课程，主要介绍液态有氧发酵、液态静止发酵及固态发酵的基本原理，训练学生独立完成对通用型机械搅拌发酵罐的发酵操作（包括空消、配料、实消、发酵控制等）， 熟悉谷氨酸发酵、啤酒发酵及红曲发酵的工艺流程及相关过程分析。"
BIO2085M,生物学综合野外实习,Integrated Field Course Of Biology,3.0,+3,96,专业课,实习课,生命科学学院,,,劳育类,不得申请免听,否,2,否,否,否,07188190,"生物学综合野外实习是面向生物科学、求是生物科学和生态学等专业本科生的专业基础课。课程包括植物学野外实习、动物学野外实习和生态学野外实习三部分，通过两至三周的实习，系统训练本科生对野外植物学、动物学和生态学知识和方法的掌握。"
BIO2086M,野外生态学,Field Ecology,2.0,+2,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188210,"《野外生态学》是在《生物学综合野外实习》中植物学、动物学和生态学野外实习的基础上设置的、专门面向生态学专业本科生和对生态学感兴趣的本科生的一门实践性、研究型课程，主要内容为野外实地考察各类自然生态系统和人工生态系统。其中研究性实习在千岛湖的浙江大学生命科学学院实践教学基地实施，主要内容为植物-动物-微生物种间相互作用及其对气候变化、生境片段化、森林干扰等响应，学习野外生态学研究方法。自然保护地-农业遗产地则安排学生到各地进行生态考察（每次开课视情况选择其中一个方案）：（i）宁夏贺兰山国家级自然保护区、青铜峡库区湿地自然保护区、沙坡头国家级自然保护区等地；（ii）青田县稻田养鱼农业遗产地；（iii）三江源；（iv）钱江源/武夷山国家级自然保护区。"
BIO2105M,生态学与生态文明研究进展,Advances In Ecology And Ecological Civilization,1.0,1.0-0.0,16,专业课,理论课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07192420,"（一）中文简介 生态学与生态文明研究进展系列报告是浙江大学生命科学学院召集生命科学学院、环境与资源学院、农业与生物技术学院、能源工程学院等多学院知名教授共同讲授的一门生态学专业课程。课程负责人为生命科学学院赵云鹏教授和陈军教授。该课程面向生态学强基班及对生态学感兴趣的高年级本科生开放。本课程定位于“系统性、开放性、重大意义课题与增进学科交叉”，每门课程以专题形式讲授，授课内容主要包括“生态学基础与前沿”，“生态治理与管理”，“双碳计划与绿色能源”等。通过本课程学习，使学生系统了解和掌握生态学与生态文明研究进展、学科前沿、发展趋势以及与其他学科的联系、交叉和新的学科生长点，增强学生对生态学研究领域的全方位的认识，为学生专业兴趣的选择提供最直接最有力的参考，为培养生态学研究及其相关交叉学科高端人才奠定基础。"
BIO2106M,生命科学进展,Advances In Life Sciences,1.0,1.0-0.0,16,专业课,理论课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07192430,"生命科学进展是浙江大学生命科学学院召集生命科学学院、生研院、脑科学与脑医学学院生命科学领域知名科学家共同讲授、并通过两年实践经验积累精心制作的一门生命科学通识课程。课程负责人为生命科学学院吕镇梅教授，主讲教师有周如鸿、冯新华、段树民、陈军、高海春、郑绍建、易文、黄俊教授等。该课程面向生物科学强基班以及对生命科学领域感兴趣的生物类专业高年级本科生开放。本课程定位于“系统性、历史性、重大意义课题与增进学科交叉”，每门课程以专题形式讲授，授课内容主要包括“计算生物学”、“蛋白质磷酸化与信号转导”、“神经生物学和脑科学”、“发育生物学”、“微生物学”、“植物学”、“糖化学生物学和肿瘤生物学”、“DNA损伤与修复”等领域聚焦的科学问题及其未来走向。通过本课程学习，使学生系统了解和掌握生命科学领域基础知识、学科前沿、发展趋势以及与其他学科的联系、交叉和新的学科生长点，提高学生科研创新能力、独立解决科学问题的能力，培养学科交叉的复合型人才。"
BIO2110F,微生物学（甲）,Microbiology (A),3.0,3.0-0.0,48,专业基础课程,理论课,生命科学学院,,,,不得申请免听,是,2,否,否,否,,"微生物学课程是国家理科基地生物学专业的主干课程，既是一门专业课程，又是一门为其他课程提供基础理论和基本技术的专业基础课，是生物学专业的骨干课程。课程主要是微生物学基础理论的课堂教学。通过本课程的学习，使学生能全面掌握和了解微生物学的基础理论和基础知识，训练和学会分析和解决微生物学研究、生产领域中实际问题的基本能力，为学生从事微生物学领域科研、教学、生产、开发等工作建立较好的微生物学理论基础。"
BIO2112F,微生物学（乙）,Microbiology (B),2.0,2.0-0.0,32,专业基础课程,理论课,生命科学学院,,,,不得申请免听,是,2,否,否,否,,"通过本课程的学习，使学生能全面掌握和了解微生物学的基础理论、基础知识和基本技术，训练和学会分析和解决微生物学研究、生产领域中实际问题的基本能力，为学生从事微生物学领域科研、教学、生产、开发等工作建立较好的微生物学理论和技术基础。微生物学是一门实践性很强的课程，因此要求学生在学习本课程时必须参加微生物学实验操作训练和掌握微生物学领域独特的现代生物技能。培养学生微生物实验设计能力。"
BIO2113F,微生物学实验,Microbiology Experiments,1.0,0.0-2.0,32,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,,"微生物学课程是国家理科基地生物学专业的主干课程，既是一门专业课程，又是一门为其他课程提供基础理论和基本技术的专业基础课，是生物学专业的骨干课程。微生物学实验课程包括了微生物学实验技能训练和微生物实验设计能力培养。通过本课程的学习，使学生能全面掌握和了解微生物学的基本技术，训练和学会分析和解决微生物学研究、生产领域中实际问题的基本能力，为学生从事微生物学领域科研、教学、生产、开发等工作建立较好的微生物学技术基础。"
BIO3015F,细胞生物学及实验（甲）,Cell Biology & Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,071B0081,"内容主要包括三大部分：第一部分为细胞生物学基本知识及基本研究方法。第二部分为细胞各组分的形态结构和功能，包括细胞膜、细胞质基质、细胞器、细胞核以及细胞骨架等。第三部分为细胞基本生命活动的介绍，包括细胞增殖、分化、衰老与凋亡等。此外，还有大量的实验操作，学习细胞形态结构观察、组分分离，细胞培养，染色体分析、细胞融合等技术。"
BIO3016F,细胞生物学及实验（乙）,Cell Biology & Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,071B0082,"细胞生物学以细胞的结构功能、增殖生长、分化发育、衰老死亡为主线，阐述细胞生命活动的物质、能量、信息与结构基础、代谢过程与调控等基本规律。授课内容主要包括三部分：第一部分为细胞生物学基础知识和主要研究技术与方法。第二部分为细胞各组分的形态结构和功能，包括生物膜系统、遗传信息表达系统和细胞骨架系统，涉及细胞膜与胞外基质、细胞质基质、内膜系统、各类细胞器的结构与功能、细胞骨架体系、细胞核与染色体；细胞分裂、分化、衰老和死亡等细胞生命活动及调控，涉及细胞周期与调控、细胞分化与发育、细胞衰老与死亡、细胞结构体系装配、基因表达调控、干细胞生物学等，第三部分为细胞连接等细胞社会性。并结合前沿进展介绍。此外有大量的实验操作，学习和训练细胞生物学的基本技能，包括学习细胞形态结构观察、组分分离、细胞膜的选择运输、细胞骨架观察、细胞凋亡和细胞周期检测等内容。"
BIO3025M,生物信息学,Bioinformatics,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120660,"本课程系统地概括了生物信息学学科的核心内容，包括生物学数据的获得与处理，数据库的内容、结构及数据的检索方式，序列比对的概念，基因组序列的注释，系统发生学，结构生物信息学，芯片及蛋白质组的数据分析以及生物信息学中的计算机环境等主要内容。通过系统的学习与实验，使学生能够掌握生物信息学的基础知识与概念，了解生物信息学网络资源，实践具体的操作方法。"
BIO3026M,遗传学及实验,Genetics & Experiments,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120710,"遗传学是研究基因的传递及其变异规律的一门科学。本课程主要介绍：一，孟德尔遗传学和摩尔根遗传学的基本原理；二，染色体的结构、功能和变异； 三，基因的结构、功能和变异；四，基因组学和表观遗传学；五，发育遗传学和基因表达调控；六，细胞质遗传和母性影响；七，复杂性状的基本遗传规律；八，群体遗传学和进化遗传学。"
BIO3030M,生物物理学,Biophysics,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07120970,"课程内容主要包括分子生物物理、膜与细胞生物物理、辐射生物物理、研究生物系统的物理方法和技术等。通过介绍蛋白质分子的结构基础、生物膜的结构与功能、辐射及其生物学效应、蛋白质结构预测和分析中的数理方法、研究生物系统的仪器技术与应用等，使学生了解生物物理学的基本概念和知识，熟悉研究生物系统的物理方法和技术。"
BIO3036MZ,细胞生物学,Cell Biology,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0010,"细胞生物学是以细胞为研究对象，从细胞的整体水平、亚显微水平、分子水平等三个层次，以动态的观点， 研究细胞和细胞器的结构和功能、细胞的生活史和各种生命活动规律的学科。细胞生物学是现代生命科学的前沿分支学科之一，主要是从细胞的不同结构层次来研究细胞的生命活动的基本规律。从生命结构层次看，细胞生物学位于分子生物学与发育生物学之间，同它们相互衔接，互相渗透。 运用近代物理学和化学的技术成就和分子生物学的方法、概念，在细胞水平上研究生命活动的科学。"
BIO3037MZ,遗传学,Genetics,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0011,"遗传学是研究基因的传递及其变异规律的一门科学。本课程主要介绍：一，孟德尔遗传学和摩尔根遗传学的基本原理；二，染色体的结构、功能和变异；三，基因的结构、功能和变异；四，基因组学和表观遗传学；五，发育遗传学和基因表达调控；六，细胞质遗传和母性影响；七，复杂性状的基本遗传规律；八，群体遗传学和进化遗传学。"
BIO3038MZ,发育生物学,Developmental biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0012,"发育生物学是研究多细胞生物自我构建奥秘的科学，又是繁殖、育种、胚胎工程，基因工程，干细胞与组织器官工程等应用技术的发展，以及根本解决癌症防治等许多医学难题的理论基础。本课程以基因按照严格的时空秩序选择性表达所导致的细胞分化为主线，讲授多细胞生物发育的过程及其基本的细胞学、遗传学、分子生物学机制。"
BIO3039MZ,神经生物学,Neurobiology,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0013,"《神经生物学》作为一门独立的课程，是以脑为主要对象，研究脑的形态、功能和机体整合功能机制的科学。脑功能的正常与否直接影响人类的健康、生活质量和创造能力。因此，《神经生物学》被设定为生物专业的专业必修课。该课程将从分子、细胞、器官和系统多层次讲授神经生物学的发展史、神经元和胶质细胞的结构和功能、神经元间的信号传递与调控、信息整合等基本问题；还涉及神经系统的发育、学习记忆的细胞分子机制、神经内分泌调控以及重要神经精神疾病的生物学基础。课程思政融入点将反应近代中国著名神经科学家的贡献并结合到相关的专业内容中，并同时从“脑功能是意识的物质基础、意识是脑功能的体现” 神经生物学专业角度支持马克思主义哲学观的角度。"
BIO3040MZ,分子生物学,Molecular Biology,3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0017,"课程以核酸和蛋白质及其在遗传信息传递中的作用为研究对象，以中心法则作为主线，重点介绍DNA复制、 RNA转录、蛋白质翻译这些生命过程的基本原理及其调控机制，同时课程还介绍有关基因克隆、DNA重组和基因工程等分子技术、及表观遗传学、基因组学等领域的研究新进展。教学过程选用全英文教材，教学方式为中英文双语教学，课程除讲解教材内容外，还结合本领域优秀期刊论文解读，强化和提高学生的专业英语阅读和理解能力。"
BIO3041MZ,生态学,Ecology,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0018,"主要讲授生态学范畴、理论框架和科学方法论；生物及其与环境相互作用的基本原理、生物对环境的适应与进化；种群的基本特征、种群结构和动态、种间关系及种群遗传进化对策；群落结构与演替、生物多样性及其影响因素、全球生物多样性分布格局与维持；生态系统生产力与过程（能量流动、物质循环、信息传递）、生态系统服务功能；全球变化与生态适应等内容及相应实验技能。"
BIO3045M,动物生理学及实验（甲）,Animal Physiology And Experiments (A),4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120021,"生理学是研究活的生物机体各种机能的科学。动物生理学在描述动物体各种机能现象的基础上，重点研究这些机能是怎样进行的，以及这些机能的活动规律、各种机能的控制或调节，包括这些机能在动物体内如何协调起来，各种机能如何密切配合形成一个统一的整体，以及这个整体又如何与外界环境相适应等问题。此外，本课程还包括动物生理学实验。"
BIO3046M,植物科学研究技术,Techniques In Plant Sciences,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120030,"本课程是一门开放研究式教学的专业选修课。通过学习植物科学四个领域（植物系统进化学、植物生理学、植物分子生物学、植物化学）的基本实验技术、数据分析方法及基本原理，使学生深入了解和熟练掌握植物科学研究的基本技能，进一步训练科研思维方式。教学方式以实验训练为主，理论讲解和小组讨论为辅。"
BIO3047M,基因工程,Genetic Engineering,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120060,"课程定位于“专业性、系统性、趣味性和学科交叉性”，内容从基因与基因工程概念入门，深入到基因工程的各种手段与方法，直至现代基因工程技术；同时课程还从微生物、植物和动物等多角度阐述基因工程技术及其应用。本课程配有相应的多媒体教学，采用电子邮件答疑进行辅导。"
BIO3050M,动物行为学原理,Theory Of Animal Behavior Science,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120190,"本课程将着重讲授动物行为的多样性、遗传和进化、动物的空间行为、取食行为、防御行为、集群、社会行为与通讯、生殖行为等方面的内容，并在授课过程中结合介绍相关的人类行为问题。使学生掌握动物行为的基本概念，掌握动物行为学和行为生态学的定义和基本原理，进一步加深对生命现象本质的认识与理解。"
BIO3051M,微生物学研究技术,Research Techniques In Microbiology,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120210,"《微生物学研究技术》专为对微生物兴趣浓厚，微生物学成绩优秀、英语较好、希望在微生物学方向攻读研究生的学生开设。课程内容包括学习微生物学前沿基础研究技术的理论和训练实际操作技能，利用所学技能完成一项具体的研究任务，以及课程论文和实验设计论文的写作。通过本课程的学习，使学生能全面掌握和了解微生物学的基础研究技术的理论和实际运用，训练和学会分析和解决微生物学研究中实际问题的基本能力，并具有一定的论文写作能力。"
BIO3052M,微生物分子生物学,Microbial Molecular Biology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120220,"微生物分子生物学是以微生物为研究对象的分子水平上的微生物学。本课程重点讲述在现代生物工业中占有重要经济与社会意义的微生物种的分子生物学、基因组及其实际应用。侧重探讨、解析微生物中与经济有关性状的功能基因的结构、表达和环境因子对其表达的影响及其规律，以及人工改建目的基因、代谢通路和调控其高效表达的科学途径与方法。"
BIO3053M,神经生物学,Neurobiology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120250,"神经生物学内容包括八章内容，主要讲授神经系统包括脑的基本结构，组成和重要功能以及神经生物学的主要研究方法；神经系统发育；神经电信号和突触的结构和功能；神经递质与神经肽及其神经受体；感觉系统组成和功能，视觉系统结构和信号转导以及嗅觉受体功能和结构；运动系统组成和功能，神经系统高级功能，包括睡眠和觉醒，学习记忆，情绪和行为；神经-内分泌免疫-网络组成和功能。 该课程以教师课堂讲授为主，实验课程为辅。实验课程综合安排神经科学的研究方法中的关键技术和方法的展示，重要功能学习记忆的水迷宫和八臂迷宫检测, 重要仪器使用和操作。教学主要采用课堂授课，双语教学，英文教材。"
BIO3055M,环境生物学,Environmental Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120290,"环境生物学是研究生物与受人类干扰的环境之间相互关系的一门科学。本课程要求通过学习基本环境生物学学科特点及其与其他相关课程的区别与联系、环境污染物的行为，环境污染物的生物学效应（包括环境污染物对生命系统不同组织层次上生命过程的影响），生物监测与评价，环境污染的生物净化和生物修复等环境生物学基本概念、理论和基本实验方法技能。通过课堂教学和指定最新高水平期刊文献精读、展示与课堂讨论环节，使学生从理论知识基础体系和最新研究进展两个方面学到环境生物学的基本知识和前沿热点。"
BIO3056M,生物学数据库及实验,Biological Database And Experiment,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120371,"本课程主要介绍了数据库技术从原理到应用实践的主要内容。要求学生通过本课程学习后，较全面地掌握数据库系统的基本概念和基本原理，深入理解关系数据模型、关系数据理论和关系数据库系统，掌握关系数据语言；掌握数据库设计方法，具有一定的数据库设计能力，初步具备使用数据库技术和方法解决生物数据库的实际应用问题的能力，为今后从事生物信息学的开发及相关工作打下坚实的基础。"
BIO3057M,细胞工程,Cell Biotechnology,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120390,"细胞工程是现代生物技术的重要组成部分，它是细胞生物学、遗传学、分子生物学、生物化学、生理学、发育生物学等学科的交叉渗透。细胞工程代表着生物技术最新的发展前沿，伴随着当代生命科学技术的快速发展，细胞工程农业、医药、食品、环境保护等领域发挥着越来越重要的作用。本课程通过举例方式重点讲授现代细胞工程的应用基础、应用技术和原理。"
BIO3058M,计算生物学导论,Introduction Of Computational Biology,2.5,2.0-1.0,48,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120460,"本课程为对计算生物学有兴趣的本科生开设。本课程首先介绍计算生物学中的一些常见基本概念，随后详细讨论分子力学、能量最小化方法、分子动力学模拟、Monte Carlo模拟和自由能计算等常用计算生物物理学手段的基本原理，最后再介绍计算生物学在蛋白质折叠与结构预测、蛋白质相互作用、膜蛋白研究等生物学重要问题上应用。本课程实践部分包含VMD、Gromacs等常用计算生物学软件的使用方法及在生物学研究中的应用。"
BIO3060M,蛋白质组学,Proteomics,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120590,"蛋白质组是一种生物或细胞或组织在精确控制其环境条件下，特定时刻所表达的全套蛋白质。本课程介绍应用二维电泳、生物质谱以及数据库技术对蛋白质组进行高通量的定性和定量分析的技术、方法及其应用，包括四大方面：1、蛋白质组学的产生背景及其特点；2、蛋白质组学高通量研究技术；3、蛋白质组学分析技术在蛋白质组定量分析、蛋白质翻译后修饰、蛋白质亚细胞定位、蛋白质相互作用组等分析中的应用；4、蛋白质组学在宏蛋白质组学、新药研发、疾病诊断等方面的应用。"
BIO3061M,高级生物化学,Advanced Biochemistry,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120600,"《高级生物化学》是继基础生物化学课程，基于经典生物化学基础知识，主要讲授基因表达调控；蛋白质结构和功能；激素合成、分泌及其作用机制；细胞信号转导；糖链的生物合成及蛋白的糖基化修饰的生物学功能和分子机制；还有RNA剪辑以及非编码RNA的生物学功能和调节机制。着重阐述生物化学的基本理论，基本概念和基本规律，并结合生物化学研究中的最新进展，以及介绍相关的生化研究策略和方法。"
BIO3062M,生物数据挖掘与知识发现,Biological Data Mining & Knowledge Discovery,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120640,"本课程将在生物信息学必修课的基础上，从实际研究的角度，采用问题教学法（Problem based learning），从应用的角度系统地介绍生物信息的表示和整合，以及生物信息学中的机器学习研究工作所需要的理论体系。课程要求实际完成一项简单的研究工作，在此过程中培养有兴趣在计算生物学领域继续发展的学生。本课程为研究型课程。"
BIO3065M,序列与基因组分析,Sequence And Genome Analysis,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120700,"本课程主要介绍了序列收集与储存、序列对的对位排列、相似序列的数据库搜索、基因预测、蛋白质序列分析等内容。要求学生通过本课程学习后，掌握数据库搜索、蛋白质序列分析及基因预测等一些生物信息学的基本知识，了解相关内容的计算机解决方法，能独立的对相应的序列和基因组数据进行合理分析。"
BIO3066M,英语口语,Oral English,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07120760,"主要通过聚焦于如何使用英语进行正式报告，提高学生英语汇报能力和表达技巧。 讲授英语演讲中的正确方法，通过实例指出常见错误，对比好的和差的实践效果。每位学生得到三次机会在全班进行实践演讲，前两次作为锻炼，并得到老师的评价和指导如何提高，第三次正式演讲，得到最终评分。"
BIO3069M,生态系统学,Ecosystem Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120860,"生态系统生态学是生态学和环境学相关专业的核心专业课程之一。本课程采用与国际一流大学同步的讲义和课件，主要讲授生态系统结构、过程及其调控的特征和规律、分析和研究方法、前沿进展和应用等。使学生掌握国际先进的生态系统生态学知识和研究创新技能, 应对和解决人类面临的相关挑战。"
BIO3070M,保护生物学（甲）,Conservation Biology (A),4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120871,"《保护生物学》（甲）是生命科学学院生态学本科专业必修的专业主干课程，包括课堂教学（42学时）和野外实际案例展演教学（38学时）【朱鹮（鸟类）和扬子鳄（爬行类）等2个国家I级重点保护的濒危动物及其栖息地拯救工程案例】两部分。本课程以人类社会各历史发展阶段过度消耗自然资源和毁灭生物多样性的经典例证为主线，系统深入地讲授（1）保护生物学发展史、（2）相关理论和技术方法的研究与突破、（3）物种灭绝与濒临灭绝机制，以及（4）人类通过干预措施减小物种灭绝速率和加强生物多样性保护等内容。"
BIO3071M,代谢生态学及实验,Metabolic Ecology And Experiments,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120880,"本课程主要涉及三个方面的内容：一、代谢生态学的发展历史与基本概念：包括代谢生态学兴起的背景与过程，代谢生态学研究的基本范围，基本概念和研究手段；二、植物生长与发育的重要生理过程及其对生态因子的响应：光合同化物的产生、运输与消耗，水分与矿质营养的吸收、转运和利用效率，物质的循环与能量的平衡，对特殊生境在生理学以及遗传学上的适应，对生物胁迫的防御；三、种间竞争、种群密度与自疏。 本课程属于双语教学课程，将采用讲授与实验相结合的方法。"
